Order Number,Order Time,Cust ID,Delivery Date,订单投诉,Status,Total Price,Payment,Voucher Discount,Voucher,Coupon Discount,Coupon,Tax Price,Final Price,Refund,Customer Service,OS of App,,冷链包装费,支付宝手续费,会员券,配送费,到家/自提,班次,服务费
1594699128,6/29/2020 0:00,55586018823,7/16/2020,,已送达,119.95,信用卡支付,,,,,0,121.45,,,ios,2.3.0,1.5,,0,0,自提,NY,0
1598776640,6/29/2020 0:03,58991718899,7/2/2020,,已送达,147.34,信用卡支付,,,,,4.46,160.29,,,ios,2.3.0,1.5,,0,6.99,到家,NY,0
1597710951,6/29/2020 0:04,57851868718,7/4/2020,,已送达,89.3,信用卡支付,5,新FAF【邀请有礼】【被邀请人】满$25减$5 活动至20201231结束,,,0.73,86.53,,,android,2.3.0,1.5,,0,0,自提,OT,0
1595995162,6/29/2020 0:04,58431571996,7/2/2020,,已送达,45.45,PayPal,,,,,0.41,59.18,,,ios,2.3.0,1.5,,0,9.99,到家,NY,2
1602053507,6/29/2020 0:08,59691743730,7/5/2020,FGG责任,已送达,247.8,信用卡支付,,,,,3.07,262.2,18.37,R-质量问题,ios,2.3.0,1.5,,0,9.99,到家,NY,0
1596794421,6/29/2020 0:12,52362641062,7/1/2020,,已送达,443.64,信用卡支付,,,,,3.53,463.48,15,R-质量问题,IPAD,2.2.4,1.5,,0,9.99,到家,Boston,0
1600278546,6/29/2020 0:16,56361742109,7/1/2020,,已送达,105.45,信用卡支付,,,,,0.95,117.89,1.99,,pc下单,,1.5,,0,9.99,到家,Boston,0
1595209100,6/29/2020 0:17,54165041930,7/4/2020,,已送达,229.68,信用卡支付,,,,,12.43,251.93,8.13,,ios,2.3.0,,,0,9.99,到家,NY,0
1599254065,6/29/2020 0:17,57824051628,7/7/2020,,已送达,50.01,信用卡支付,,,,,0,63.5,,,pc下单,,1.5,,0,9.99,到家,NY,2
1603376622,6/29/2020 0:19,58591768230,7/2/2020,,已送达,170.24,信用卡支付,,,,,2.78,184.39,14.98,,ios,2.3.0,1.5,,0,9.99,到家,NY,0
1597100612,6/29/2020 0:26,55752099104,7/1/2020,,已送达,117.74,支付宝/微信,,,,,0,129.95,27.27,,ios,2.3.0,1.5,1.5,0,9.99,到家,Boston,0
1596589789,6/29/2020 0:26,58497364408,7/2/2020,,已送达,122.75,信用卡支付,,,,,1.31,125.56,,,IPAD,2.3.0,1.5,,0,0,自提,NY,0
1596677798,6/29/2020 0:27,55930932748,7/9/2020,,订单已取消【需要取消一件/多件商品 || 买多了】,89.15,信用卡支付,,,,,4.7,103.69,103.69,,ios,2.3.0,,,0,9.99,到家,NY,0
1600935073,6/29/2020 0:28,56534710828,7/11/2020,,已送达,71.75,信用卡支付,,,,,1.57,74.69,9.87,,ios,2.3.0,1.5,,0,0,自提,NY,0
1598216664,6/29/2020 0:34,54534725486,7/2/2020,,已送达,59.2,信用卡支付,,,,,0.35,72.89,25.99,,ios,2.3.0,1.5,,0,9.99,到家,NY,2
1600730947,6/29/2020 0:35,53691746915,7/4/2020,,已送达,81.25,信用卡支付,,,,,1.26,94,,,ios,2.3.0,1.5,,0,9.99,到家,NY,0
1595102394,6/29/2020 0:36,53673455005,7/9/2020,,已送达,113.17,信用卡支付,,,,,4.25,117.96,,,ios,2.2.8,1.5,,0,0,自提,NY,0
1594767397,6/29/2020 0:36,5755189743,7/4/2020,,已送达,101.29,信用卡支付,2,$2差价代金券,,,2.12,102.13,6.49,,ios,2.3.0,1.5,,0,0,自提,OT,0
1602972201,6/29/2020 0:39,53460374358,7/4/2020,,已送达,142.66,信用卡支付,,,,,1.89,144.79,7.96,,ios,2.3.0,1.5,,0,0,自提,Boston,0
1594332223,6/29/2020 0:39,52934765958,7/4/2020,,已送达,75.34,信用卡支付,,,,,1.24,86.42,15,R-质量问题,ios,2.3.0,,,0,9.99,到家,NY,0
1594238646,6/29/2020 0:40,56362620352,7/1/2020,,已送达,208.59,PayPal,,,,,0.27,220.19,14.67,,ios,2.3.0,1.5,,0,9.99,到家,Boston,0
1594117382,6/29/2020 0:42,57524031233,7/1/2020,,已送达,120.47,PayPal,,,,,1.25,130.21,,,pc下单,,1.5,,0,6.99,到家,DC,0
1601164707,6/29/2020 0:43,54864616362,7/7/2020,,已送达,247.05,信用卡支付,,,,,2.32,259.9,9.38,,ios,2.2.8,1.5,,0,9.99,到家,NY,0
