Order Number,Order Time,用户ID,Delivery Date,订单投诉,Status,Total Price,Payment,Voucher Discount,Voucher,Coupon Discount,Coupon,Tax Price,Final Price,Refund,Customer Service,OS of App,,冷链包装费,支付宝手续费,会员券,配送费,到家/自提,班次,服务费
1601116468,7/13/2020 0:00,58351892017,7/22/2020,,已送达,118.18,信用卡支付,,,,,0,114.68,14.44,R-商品变质,ios,2.3.1,1.5,,5,0,自提,DC,0
1602472924,7/13/2020 0:01,55085937222,7/18/2020,,已送达,298.84,余额支付,,,,,7.21,302.55,,,ios,2.3.1,1.5,,5,0,自提,OT,0
1599126052,7/13/2020 0:01,56291750175,7/16/2020,,已送达,165.81,信用卡支付,,,,,1.04,178.34,3.19,,pc下单,,1.5,,0,9.99,到家,NY,0
1597482400,7/13/2020 0:06,58824880640,7/18/2020,FGG责任,退款已完成,174.53,信用卡支付,,,,,2.41,178.44,12.58,R-商品变质,ios,2.3.1,1.5,,0,0,自提,OT,0
1595911970,7/13/2020 0:06,53724030573,7/15/2020,,已送达,207.03,信用卡支付,,,,,1.91,217.43,12.48,R-其他,pc下单,,1.5,,0,6.99,到家,DC,0
1601415235,7/13/2020 0:08,52620173266,7/16/2020,,已送达,199.14,余额支付,,,,,3.86,208.57,9.99,,ios,2.3.1,1.5,,5,9.99,到家,NY,0
1595158375,7/13/2020 0:10,53085748946,7/18/2020,,已送达,171.39,信用卡支付,,,,,0,181.16,,,ios,2.3.1,,,0,9.99,到家,Boston,0
1601736879,7/13/2020 0:19,58920218907,7/15/2020,,已送达,264.84,信用卡支付,,,,,6.05,279.38,40.96,,pc下单,,1.5,,0,6.99,到家,DC,0
1599385615,7/13/2020 0:19,56364660306,7/16/2020,,已送达,100.46,PayPal,,,,,5.13,115.96,,,ios,2.3.1,1.5,,0,9.99,到家,NY,0
1600061639,7/13/2020 0:19,59741256600,7/16/2020,普通投诉,已送达,190,余额支付,,,,,0,200.29,9.68,R-包装损坏,ios,2.3.1,1.5,,0,9.99,到家,NY,0
1595300743,7/13/2020 0:20,53692918073,7/16/2020,,已送达,101.42,信用卡支付,,,,,0.36,113.15,,,ios,2.3.1,1.5,,0,9.99,到家,NY,0
1600843186,7/13/2020 0:23,53178192425,7/16/2020,,已送达,134.1,PayPal,,,,,1.22,146.53,4.19,,ios,2.3.1,1.5,,0,9.99,到家,NY,0
1595268427,7/13/2020 0:23,54364627351,7/16/2020,,已送达,178.36,PayPal,,,,,8.96,188.82,,,pc下单,,1.5,,0,0,自提,NY,0
1604220291,7/13/2020 0:24,58971569053,7/16/2020,,已送达,142.69,信用卡支付,,,,,0,154,21.38,R-数量/重量不符,ios,2.3.1,1.5,,0,9.99,到家,NY,0
1604289953,7/13/2020 0:25,5932039245,7/18/2020,,已送达,126.68,余额支付,,,,,1.44,124.39,10.47,,android,2.3.1,1.5,,5,0,自提,NY,0
1601949218,7/13/2020 0:25,5535182847,7/18/2020,,已送达,72.94,信用卡支付,,,,,3.51,76.55,1.59,,ios,2.3.1,1.5,,0,0,自提,OT,0
1597830563,7/13/2020 0:29,5204126118,7/24/2020,,已送达,236.34,PayPal,,,,,4.43,242.27,3.5,,pc下单,,1.5,,0,0,自提,NY,0
1601890870,7/13/2020 0:30,53664659431,7/18/2020,,已送达,299.62,余额支付,,,,,1.23,305.72,42.46,R-数量/重量不符,ios,2.3.1,1.5,1.5,0,0,自提,OT,0
1598129812,7/13/2020 0:36,5372405826,7/15/2020,,已送达,253.29,信用卡支付,,,,,0,261.63,31.24,,ios,2.3.1,1.5,,0,6.99,到家,DC,0
1594887324,7/13/2020 0:40,55864675072,7/16/2020,,已送达,213.45,信用卡支付,,,,,5.58,229.56,2,,ios,2.3.1,1.5,,0,9.99,到家,NY,0
1597018188,7/13/2020 0:53,59930128085,7/15/2020,,已送达,152.19,信用卡支付,,,,,0,159.83,2.49,,ios,2.3.1,1.5,,0,6.99,到家,DC,0
1603348869,7/13/2020 0:54,52691742599,7/16/2020,,已送达,224.21,信用卡支付,,,,,2.86,237.48,4.53,,ios,2.3.1,1.5,,0,9.99,到家,NY,0
1602015133,7/13/2020 0:55,56085866785,7/15/2020,,已送达,51.5,信用卡支付,,,,,3.22,66.55,,,ios,2.3.1,,,0,9.99,到家,Boston,2
1602120145,7/13/2020 0:56,52992913285,7/18/2020,,已送达,60.57,信用卡支付,,,,,1.38,63.45,,,pc下单,,1.5,,0,0,自提,OT,0
1598703863,7/13/2020 0:57,53040140868,7/15/2020,,已送达,58.7,信用卡支付,,,,,0,62.2,2.2,R-数量/重量不符,pc下单,,1.5,,0,0,自提,Boston,2
1596020994,7/13/2020 1:03,57561710881,7/15/2020,,已送达,168.82,信用卡支付,,,,,3.59,183.78,21.32,,ios,2.3.1,1.5,,0,9.99,到家,Boston,0
1599890725,7/13/2020 1:04,57461777595,7/18/2020,,已送达,218.37,PayPal,,,,,0.22,229.9,21.97,,ios,2.3.1,1.5,,0,9.99,到家,Boston,0
1602282576,7/13/2020 1:05,57564687709,7/19/2020,,已送达,163.9,信用卡支付,,,,,1.35,171.09,8.55,,IPAD,2.3.1,1.5,,5,9.99,到家,NY,0
1601147646,7/13/2020 1:07,58991716351,7/16/2020,,已送达,156.86,余额支付,,,,,0.56,163.71,12.99,,ios,2.3.1,1.5,,5,9.99,到家,NY,0
1598451604,7/13/2020 1:14,58891773825,7/16/2020,,已送达,155.93,信用卡支付,,,,,1.49,168.91,21.72,,pc下单,,1.5,,0,9.99,到家,NY,0
1601444587,7/13/2020 1:31,57958548138,7/16/2020,,已送达,133.17,信用卡支付,,,,,0,143.94,,,ios,2.3.1,1.5,,0,9.99,到家,NY,0
1602868939,7/13/2020 1:40,52066712006,7/15/2020,,已送达,93.65,信用卡支付,,,,,0,102.14,11.17,,pc下单,,1.5,,0,6.99,到家,DC,0
1602887806,7/13/2020 1:42,52364640737,7/16/2020,,已送达,114.42,信用卡支付,,,,,3,128.91,,,pc下单,,1.5,,0,9.99,到家,NY,0
1597259288,7/13/2020 1:43,57720136936,7/18/2020,,已送达,186.09,PayPal,,,,,6.67,194.01,3.49,,ios,2.3.1,1.5,,0,0,自提,NY,0
1601415321,7/13/2020 1:49,52292933166,7/16/2020,,已送达,114.64,信用卡支付,,,,,2.59,128.57,,,ios,2.3.1,1.5,,0,9.99,到家,NY,0
1599429263,7/13/2020 1:53,53797897013,7/15/2020,,已送达,148.37,余额支付,,,,,0,149.87,4.58,,pc下单,,1.5,,0,0,自提,Boston,0
1595491473,7/13/2020 2:04,56391767515,7/16/2020,,已送达,228.98,信用卡支付,,,,,8.32,248.79,4.59,,pc下单,,1.5,,0,9.99,到家,NY,0
1595304911,7/13/2020 2:07,53677340081,7/15/2020,,已送达,29.57,信用卡支付,,,,,0,31.43,1.99,,ios,2.3.1,,,0,0,自提,Boston,2
1594767051,7/13/2020 2:12,52592916071,7/16/2020,,已送达,192.05,信用卡支付,,,,,2.52,205.84,9.99,,ios,2.3.1,1.5,,0,9.99,到家,NY,0
1600106515,7/13/2020 2:15,5426177829,7/15/2020,,已送达,84.79,PayPal,,,,,0.95,97.01,4.59,,android,2.3.1,1.5,,0,9.99,到家,Boston,0
1595857460,7/13/2020 2:15,56464659411,7/16/2020,,已送达,147.73,信用卡支付,,,,,1.7,160.92,,,pc下单,,1.5,,0,9.99,到家,NY,0
